draw.fail,더 이상 카드를 뽑을 수 없습니다!
cards_left,덱 리필까지 남은 카드:
before_fatigue,탈진 피해까지 남은 횟수:
reshuffle,덱 리필
fatigue_damage,덱 리필 시 받는 탈진 피해:
fatigue_damage_take,탈진 피해:
no_draw.hero_damage,이번 턴에 카드를 쓰지 않아 당신의 영웅이 피해를 입었습니다.
lobby.info,정보
lobby.workshop,워크샵
lobby.play,플레이
lobby.spectate,뛰어내려 관전
input.right_click,[우클릭]
sign.parkour.reward,보상
sign.tutorial,튜토리얼
sign.cheating.info,치트 정보
sign.card_pack.purchase,구매 비용: 
sign.practice,연습 보드
sign.shop.booster,부스터 팩
sign.shop.attack,공격 팩
sign.shop.defense,방어 팩
sign.shop.buffs,버프 팩
sign.shop.nether,네더 팩
sign.shop.ender,엔더 팩
sign.shop.aquatic,수생 팩
sign.shop.village,마을 팩
sign.shop.cliffs,동굴과 절벽 팩
sign.shop.deep_deck,깊은 어둠 팩
sign.shop.tales,여행과 이야기 팩
sign.shop.aggro,어그로 팩
sign.deck_builder.exit,나가기
sign.deck_builder.store_cards,카드 보관
sign.deck_builder.save,저장 & 불러오기
sign.deck_builder.code_book,코드 책
sign.deck_builder.export,내보내기
sign.deck_builder.import,가져오기
deck_builder.manager,덱 관리자
deck_builder.cosmetics,스킨
villager.redstone,RedstoneBattery
villager.redstone.0,나때는 돼지를 상대 스티브 앞에 소환하고 공격력을 버프하는 카드들을 써서 바로 데미지를 줬었지. 결국 밸붕 때문에 버프형 카드들이 너프를 받았어. 이제 어떤 전략을 써야 될까...
villager.coffee.0,맵이 마음에 든다면 커피 한 잔 사주실래요?
soundCategory.music,끄기
soundCategory.record,음악
fatigue.warn,다음 덱 리필에 탈진 피해를 받습니다!
fatigue.fatigue,덱 리필로 인해 탈진 피해를 받았습니다. 다음에는 더 큰 피해를 받습니다!
daily_reward,다음 5차례의 우승에서 2배의 돈을 얻습니다! (24시간 후 리셋됩니다)
reset,당신의 세이브를 리셋하시겠습니까? \n채팅창에 /trigger reset set 10 을 입력하세요
effects,튜토리얼 - 효과
effects.des,여러가지 상태를 이해하기 위한 튜토리얼
effects.buffs,버프
effects.buffs.des,대상을 강화하거나 보호합니다
effects.debuffs,디버프
effects.debuffs.des,대상을 약화시키거나 피해를 입힙니다
effects.fire,화염
effects.fire.des,턴 종료시 1 피해를 입습니다
effects.poison,독
effects.poison.des,턴 종료시 갑옷을 무시하는 1 피해를 입습니다. 이 피해로는 사망하지 않습니다
effects.wither,위더
effects.wither.des,턴 종료시 갑옷을 무시하는 1 피해를 입습니다. 이 피해로는 사망 가능합니다
effects.invis,투명화
effects.invis.des,다른 몹에게 공격받지 않습니다. 다른 공격에는 여전히 피해를 받습니다
effects.speed,신속
effects.speed.des,속도 +2
effects.slowness,감속
effects.slowness.des,속도 -2
effects.strength,힘
effects.strength.des,공격력 +3
effects.weakness,나약함
effects.weakness.des,공격력 -4
effects.fire_resistance,화염 저항
effects.fire_resistance.des,화염에 면역이 됩니다
effects.blindness,실명
effects.blindness.des,"사거리 -2, 사거리가 0일 경우 공격을 할 수 없습니다"
traits,튜토리얼 - 특성
traits.des,특성은 카드 상단에 표시되는 아이콘입니다
traits.ambush,기습
traits.ambush.des,소환 직후 행동이 가능합니다
traits.emerald,에메랄드
traits.emerald.des,에메랄드를 사용해 특정 기능을 발동 가능합니다
traits.fire,화염 면역
traits.fire.des,화염 피해에 면역입니다
traits.flying,비행
traits.flying.des,함정을 발동시키지 않습니다
traits.gold,황금
traits.gold.des,피글린 물물교환의 대상입니다
traits.teleport,엔더
traits.teleport.des,피해를 입을 시 순간이동합니다
traits.undead,언데드
traits.undead.des,"치유/고통 물약에 반대로 반응하며, 강타에 약합니다"
traits.water,수생
traits.water.des,수생 버프를 받을 수 있습니다
traits.wither,위더
traits.wither.des,위더 피해에 면역입니다
traits.passive,패시브
traits.passive.des,아무 칸에나 소환 가능합니다
traits.lunging,돌진
traits.lunging.des,"유닛을 일직선으로 관통해 지나가며 피해를 주며, 건물을 무시합니다"
traits.arthropod,벌레
traits.arthropod.des,감속에 면역입니다
traits.frozen,동결
traits.frozen.des,추위에 면역입니다
traits.evasive,회피
traits.evasive.des,50%% 확률로 피해를 무시합니다
traits.illager,우민
traits.illager.des,우민 버프를 받을 수 있습니다
selected,선택됨
arena.moss,모스 스타디움
arena.nether,네더
arena.end,엔드
arena.deep,깊디 깊은 어둠
arena.cave,광산
arena.sky,구름 안에서
arena.sea,7번째 바다
arena.amethyst,정동 안에서
arena.redstone,레드스톤 공장
arena.village,마을
arena.jungle,사원
arena.mansion,대저택
arena.ocean,유적
arena.mangrove,맹그로브
arena.zen,젠
arena.usea,창고
arena.bee,벌과 함께
arena.fort,요새
arena.unlock,신규 아레나 해금:
music.moss,무성한 동굴
music.nether,네더
music.end,엔드
music.deep,깊은 어둠
music.cave,게임
music.sky,크리에이티브
music.sea,바다
music.amethyst,자수정
music.redstone,음반
music.relic,이야기의 노래
music.unlock,신규 배경음악 해금:
hero.steve,스티브
hero.alex,알렉스
hero.jerry,멋진 제리
hero.barb,버블검 바브
hero.memer,뜨듯한 미머
hero.creeper,춤꾼
hero.killer,슬레이어
hero.trickster,트릭스터
hero.deckmaster,덱마스터
hero.unlock,신규 스킨 해금:
set.gamemodes,게임모드
set.gamemodes.classic,클래식
set.gamemodes.classic.des,덱을 꾸리고 대결하는 기존 게임모드
set.gamemodes.mirror,미러전
set.gamemodes.mirror.des,양쪽 플레이어 모두 동일하게 만들어진 덱을 사용
set.gamemodes.draft,드래프트
set.gamemodes.draft.des,무작위의 카드들을 선택해 즉석에서 덱을 꾸리세요
set.gamemodes.no_draw,무리필
set.gamemodes.no_draw.des,"전체 덱을 즉시 지급받지만, 덱이 리필되지 않습니다"
set.turn_time,턴 시간
set.turn_time.30,30초
set.turn_time.60,60초
set.hand_size,손패 카드 수
set.hand_size.3,3개 카드를 뽑을 수 있습니다(이벤트로 얻는 추가 카드에는 해당이 되지 않습니다.)
set.hand_size.5,5개 카드를 뽑을 수 있습니다(이벤트로 얻는 추가 카드에는 해당이 되지 않습니다.)
set.hand_size.8,8개 카드를 뽑을 수 있습니다(이벤트로 얻는 추가 카드에는 해당이 되지 않습니다.)
set.fatigue,탈진
set.fatigue.disabled,탈진 비활성화
set.fatigue.1,1번 덱 리필 이후 탈진 피해
set.fatigue.2,2번 덱 리필 이후 탈진 피해
set.fatigue.3,3번 덱 리필 이후 탈진 피해
set.hero_hp,영웅 HP
set.hero_hp.10.des,최단 매치
set.hero_hp.15.des,짧은 매치
set.hero_hp.20.des,일반 매치
duel.invite.settings.handsize,손패 최대 카드 수:
duel.invite.settings.fatigue,탈진 시작:
duel.invite.settings.hero_hp,영웅 HP:
quests.deckmaster,덱마스터
quests.deckmaster.des,덱마스터 스킨으로 누군가를 이기세요
deck.version.old,"안타깝게도, 당신의 덱이 이전 버전에서 구성되었기에, 당신의 덱이 기본 덱으로 변경되었습니다. 가지고 있던 카드는 그대로이기에, 덱을 다시 구성하시면 됩니다."
deck.version.incompatible,"안타깝게도, 마인크래프트의 데이터 포맷 변경으로 인해, 당신의 덱은 더이상 지원이 되지 않습니다."
deck.code_book,덱 코드
deck.code_book.des,안의 코드를 복사에 공유하세요!
deck.import.fail,"덱 불러오기 실패, 코드가 유효하지 않습니다!"
deck.export.fail,"덱 내보내기 실패, 유효한 덱을 들고 있어야 합니다!"
cost,¢
health,♥
armor,🛡
attack,🗡
speed,🥾
range,🏹
explode,🧨
fire,🔥
poison,☣
wither,💀
card.discard,카드를 버립니다.
card.phantom.dodge,팬텀이 공격을 피함!
attack.normal,%s이(가) %s을(를) 공격
attack.lunging,%s이(가) 돌진해 %s을(를) 꿰뚫음
attack.damage.take,%s이(가) %s 피해를 입음
attack.damage,피해
attack.evade,%s이(가) 공격을 피함!
attack.fail,%s이(가) 공격에 실패!
cast.use,%s이(가) %s을(를) 사용
cast.use.on,%s이(가) %s을(를) %s에게 사용
move.trap_trigger,%s이(가) %s을(를) 발동
entity.spawns,%s이(가) %s을(를) 소환
deck_builder.fail_exit,"새 카드 팩을 개봉하였기 때문에, 카드 팩에서 나온 카드를 보관하거나 덱에다 넣어야 합니다."
game.win,이(가) 이겼습니다!
lobby.queue,"게임 대기열에 진입합니다. 둘 이상이 준비됐을 시, 게임을 시작합니다."
lobby.queue.leave,게임 대기열에서 나갔습니다.
cheater,플레이어가 치터가 되었습니다!
shop.success,구매 완료!
shop.fail,돈이 부족합니다!
quick_play,게임 대기열 진입
quick_deck_builder,덱 구성하기
quick_spectate,주변 유저 관전
cards,Relics from the Deck
cards.des,덱 빌딩 전략 게임
collection,카드 보관함 
collection.left,이전 페이지
collection.right,다음 페이지
collection.search,검색 패턴
collection.search.rarity,희귀도
collection.search.cost,비용
collection.search.name,알파벳순
collection.search.type,타입
decks,덱 관리자
decks.grab,덱 가져오기
decks.view,덱 보기
decks.overwrite,덮어쓰기
decks.overwrite.click,현재 덱을 인벤토리의 카드들로 덮어쓰기
decks.selected,선택된 덱
decks.change,지금 보이는 덱으로 바꾸기
decks.fast_open,빠른 팩 개봉
decks.fast_open.enabled,활성화됨
decks.fast_open.disabled,비활성화됨
saving.save.1,저장/로드 절차
saving.save.2,"진행 과정을 저장하려면, 셜커 상자의 이름을 바꿔서 크리에이티브 모드의 핫바에 두세요"
saving.save.3,이 기능을 쓰려면 단축키를 바꿔야합니다
saving.save.4,덱을 불러오려면 핫바에서 셜커 상자를 가져오세요
saving.save.5,"그 후에, 셜커 상자를 왼손으로 드세요"
save.load,세이브 파일 로드됨!
decks.white,하얀색 덱
decks.red,빨간색 덱
decks.orange,주황색 덱
decks.yellow,노랑색 덱
decks.green,추록색 덱
decks.cyan,청록색 덱
decks.blue,파란색 덱
decks.purple,보라색 덱
decks.black,검은색 덱
card.poor,경험치가 부족합니다!
move.too_far,해당 위치로 이동이 불가능합니다!
place.fail,해당 위치에 그 카드를 사용할 수 없습니다!
nothing.fail,해당 위치엔 선택가능한 몹이 없습니다!
deck.save,덱을 성공적으로 저장했습니다
card.store,카드 저장됨!
card.sort,카드 분류됨!
travel.fail,몹이 이동에 실패했습니다.
too_slow,시간 초과로 내 턴이 종료됩니다.
credits.map,🧭
credits.brickmasons,제작: Brickmasons
credits.team,맵 팀
credits.testers,테스터
credits.sounds,음악/효과음 제공: Zapsplat.com
parkour,"이봐, 크리퍼가 있어야만 '폭발 팩'을 얻을수 있다 하던데? 좀 어떻게 해보는 게 어때?"
item.minecraft.carrot_on_a_stick,선택
forfeit,게임 포기
duel,듀얼이다!
duel.search,플레이어를 클릭해 듀얼하세요
duel.invite.1,%s에게 듀얼을 신청했습니다
duel.invite.2,에게 듀얼을 신청하였습니다
duel.invite.3,%s이(가) 당신에게 듀얼을 신청했습니다
duel.invite.settings,경기 세팅:
duel.invite.settings.mode,모드:
duel.invite.settings.preset,속도:
duel.awaiting,상대를 기다리는 중입니다. 황금 마우스를 던져 취소하세요
duel.pending,황금마우스 우클릭 = 수락 / 던지기 = 취소
duel.deny,상대가 듀얼을 거절했습니다
duel.end,시간 초과로 듀얼이 취소되었습니다
duel.reset,듀얼 요청이 중단되었습니다
villager.stephen,Stephen
villager.stephen.0,"전에 해 본적 있나? 내가 가르쳐 주지, 아래쪽 튜토리얼을 눌러!"
villager.legobro,LegoBro
villager.legobro.0,10x10 보드는 망할 거 같은데...
villager.gem,ThatGreenGem
villager.gem.0,"난 Relics from the Deck 위키를 집대성했어! 보고 싶다면, 여길 클릭해!"
villager.think,thinkrocks12
villager.think.0,"만일 추후에 토너먼트에서 뛰고 싶다면, 여기를 클릭해 Brickmasons 디스코드에 들어가도록 해!"
villager.j,J_Brimstone
villager.j.0,치트 코드가 뭐였더라... 끌어당기는 블럭이었었나...
coins,코인
game.book,경기 세팅
game.draft,카드를 선택하세요
game.begin,게임 시작!
game.turn.begin,당신의 턴
game.turn.end,턴 종료
dubloon.earn.1,코인 +%s$ 획득
dubloon.earn.2,$
dubloon.total.1,총액 %s$
dubloon.total.2,$
cheat_book,치트코드를 이 책에 입력하세요
cheat_unlock,새로운 치트코드:
quests,퀘스트
quests.des,코인을 벌어 카드 팩을 구매하세요
quests.tutorial,튜토리얼
quests.tutorial.des,튜토리얼을 마무리하세요
quests.stickypiston,Stickypiston
quests.stickypiston.des,mgm.spmc.co
quests.parkour,파쿠르
quests.parkour.des,파쿠르를 완주하세요
quests.loser,패배자
quests.loser.des,너무 빡치지 않았기를 바랍니다
quests.creeper,크리퍼
quests.creeper.des,오 이런...
quests.rich,XPCoin...
quests.rich.des,...달을 향해서!
quests.ambush,기습
quests.ambush.des,경험치가 20이 되기 전에 승리하세요
quests.defend,철벽
quests.defend.des,영웅 HP가 15 이상인 상태로 승리하세요
quests.killer,살인마
quests.killer.des,몹 500마리를 죽이세요
quests.sacrifice,희생
quests.sacrifice.des,몹 500마리를 소모하세요
quests.end,엔드
quests.end.des,엔드 몹 50마리를 소환하세요
quests.nether,네더
quests.nether.des,네더 몹 100마리를 소환하세요
quests.overworld,오버월드
quests.overworld.des,오버월드 몹 250마리를 소환하세요
quests.potion,물약
quests.potion.des,물약을 50번 사용하세요
quests.armor,갑옷
quests.armor.des,갑옷을 50번 사용하세요
quests.trap,함정
quests.trap.des,함정을 50번 설치하세요
quests.water,수생
quests.water.des,수생 몹 50마리를 소환하세요
quests.conversion,변형
quests.conversion.des,몹 50마리를 변형시키세요
quests.practice,연습
quests.practice.des,연습 게임에서 승리하세요
quests.unknown,미상
quests.unknown.des,정체불명의 카드로 손을 전부 채우세요
quests.mansion,대저택
quests.mansion.des,"약탈자, 변명자, 소환사, 파괴수를 공존시키세요"
quests.ocean,바다의 힘
quests.ocean.des,수중 몹의 HP를 15로 만드세요
quests.frog,개굴개굴
quests.frog.des,개구리 15마리를 공존시키세요
quests.zen,벚꽃 명소
quests.zen.des,벚나무 2그루를 공존시키세요
quests.piston,밀지마
quests.piston.des,한 턴 내에 피스톤/끈끈이 피스톤을 3번 사용하세요
quests.bee,땡벌땡벌
quests.bee.des,꿀벌의 공격력을 20으로 만드세요
quests.tnt,폭발적 방어수단
quests.tnt.des,한 판에서 TNT로 10개의 몹 또는 구조물을 처치하세요
quests.sherd,새로운 여정
quests.sherd.des,5 이상의 피해를 받은 몹을 도자기 조각으로 포획하세요
quests.critical,초치명타
quests.critical.des,치명타 카드로 10 피해를 주세요
quests.saddle,탑쌓기
quests.saddle.des,안장을 사용해 5개 유닛을 쌓으세요
quests.ethereal,너무 가벼워...
quests.ethereal.des,2개의 허상 카드를 한번에 지니세요
adv.0,구조물 팩
adv.0.des,당신만의 기지를 만드세요
adv.1,네더 요새 팩
adv.1.des,주옥같은 요새네요
adv.2,네더 황무지 팩
adv.2.des,살기에는 지옥이네요
adv.3,보루 잔해 팩
adv.3.des,돼지들의 요새
adv.4,갑옷 대장장이 팩
adv.4.des,갑옷으로 무장...
adv.5,광부 팩
adv.5.des,지하의 투쟁
adv.6,언데드 팩
adv.6.des,*궁시렁대는 소리*
adv.7,무리 팩
adv.7.des,주변에 둥지를 틀게 냅두진 마
adv.8,폭발적 팩
adv.8.des,뿜쾅
adv.9,엔드 팩
adv.9.des,아니 아직 안 끝났어...
adv.10,마을 방어 팩
adv.10.des,습격 없는 마을
adv.11,양조장 팩
adv.11.des,보글보글
adv.12,습격자 팩
adv.12.des,어디 마을이 습격이 필요하던데
adv.13,수중 업데이트 팩
adv.13.des,바다와 강
adv.14,오버월드 탐험 팩
adv.14.des,자유롭게 여행
adv.15,농장 문제 팩
adv.15.des,동물농장
adv.16,수성 팩
adv.16.des,들어오지 못할거다
adv.17,야생동물 팩
adv.17.des,먹이 금지
adv.18,빙하기 팩
adv.18.des,꽁꽁꽁
adv.19,마지막 기회 팩
adv.19.des,막판 뒤집기
adv.20,변형 팩
adv.20.des,뭐가 바뀌었는데
adv.21,쓰레기 상자
adv.21.des,팩 찌끄레기
tutorial,[튜토리얼]
tutorial.fail,당신의 영웅 캐릭터가 사망하여 튜토리얼에서 패배했습니다. 당신은 천재일지도?
tutorial.1,Relics from the Deck에 오신 걸 환영합니다!
tutorial.2,이 게임의 목적은 상대의 영웅 캐릭터를 처치하는 겁니다.
tutorial.3,"동시에, 당신의 영웅 캐릭터도 지켜야 하지요."
tutorial.4,이를 위해 당신은 카드를 사용합니다.
tutorial.5,황금 마우스를 들고 당신의 덱을 우클릭해 카드를 뽑으세요. 이 행동에는 경험치 2가 소모됩니다.
tutorial.6,좀비 카드를 뽑으셨군요!
